Comment,Designator,Footprint,LCSC Part #

"10uF","C1, C2, C4","C0805","C15850"
"100nF","C3, C5, C6, C19","C0603","C1590"
"100pF","C9, C10","C0603","C14665"
"1N5819","D1","SMA_L4.4-W2.6-LS5.0-RD","C437199"
"10uH","L1","IND-SMD_L4.0-W4.0","C602032"
"SZYY0603RG","LED2","LED-SMD_4P-L1.6-W1.5","C3029079"
"DMP6350S-7","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C347476"
"2N7002K-7","Q2, Q3, Q5, Q6, Q7","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","C85047"
"BSS138PS,115","Q8","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR","C193381"
"0£[","R1, R8, R9, R11, R17, R25, R29, R30","R0603","C95177"
"8.2k£[","R3","R0603","C25981"
"10k£[","R4, R6, R31, R32, R33, R34","R0603","C99198"
"1k£[","R5, R12, R19, R35, R36, R37","R0603","C14676"
"1k£[","R7","R0603","C21190"
"51£[","R10, R13, R18, R41, R42","R0603","C114685"
"510£[","R14, R15","R0603","C113299"
"IC®y-40P","STM1","DIP-40_L50.8-W17.8-P2.54-LS15.2-BL","C2332"
"KH-6X6X4.3H-STM","SW1","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0","C2837530"
"SS56B","U2","SMB_L4.6-W3.7-LS5.4-RD","C5343335"
"AP3012KTR-G1","U3","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","C102618"
"TMUX1237DCKR","U5, U6","SC70-6_L2.0-W1.3-P0.65-LS2.1-BL","C3034867"
