"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Q8","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR","97.9168mm","44.8199mm","97.9169mm","44.82mm","98.5668mm","45.7198mm","T","90.00","BSS138PS,115"
"LED2","LED-SMD_4P-L1.6-W1.5","97.917mm","48.895mm","97.917mm","48.895mm","98.642mm","48.395mm","T","270.00","SZYY0603RG"
"H1","HDR-TH_6P-P2.54-V-M","44.196mm","57.658mm","44.196mm","57.658mm","50.546mm","57.658mm","T","180.00","PZ254V-11-06P"
"R27","R0603","91.948mm","2.1504mm","91.948mm","2.1504mm","91.948mm","1.397mm","T","90.00","0£["
"R25","R0603","93.599mm","2.159mm","93.599mm","2.159mm","93.599mm","1.4056mm","T","90.00","0£["
"J5","HDR-TH_5P-P2.54-V-M","15.456mm","50.32mm","15.456mm","50.32mm","10.376mm","50.32mm","T","0.00","PZ254V-11-05P"
"LED3","LED-TH_BD4.0-P2.54-FD","89.281mm","51.943mm","89.281mm","51.943mm","89.281mm","50.673mm","T","90.00","204-10SURT/S530-A3"
"LED1","LED-TH_BD4.0-P2.54-FD","84.963mm","51.943mm","84.963mm","51.943mm","84.963mm","50.673mm","T","90.00","204-10SYGD/S530-E2-L"
"Q4","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","88.775mm","18.7251mm","88.775mm","18.725mm","87.775mm","19.675mm","T","180.00","DMP6350S-7"
"CN6","CONN-TH_4P-P2.50-V-M","29.658mm","57.404mm","29.6579mm","57.404mm","33.408mm","57.404mm","T","180.00","XY-XH2.54-4A11"
"R20","R0603","66.802mm","44.958mm","66.802mm","44.958mm","66.802mm","45.7114mm","T","270.00","0£["
"R6","R0603","50.7466mm","6mm","50.7466mm","6mm","51.5mm","6mm","T","180.00","10k£["
"U2","SMB_L4.6-W3.7-LS5.4-RD","73.5mm","12.75mm","73.5mm","12.75mm","73.5mm","15.1107mm","T","270.00","SS56B"
"CN1","HDR-TH_2P-P2.50-V-F-1","57.7299mm","3.25mm","57.7299mm","3.2499mm","58.9799mm","3.25mm","T","180.00","XY-XH2.54-2A11"
"C18","C0603","6.693mm","50.574mm","6.693mm","50.574mm","5.993mm","50.574mm","T","0.00","100nF"
"C20","C0603","63mm","32.7mm","63mm","32.7mm","63mm","33.4001mm","T","270.00","1uF"
"C19","C0603","19.112mm","44.958mm","19.112mm","44.958mm","18.412mm","44.958mm","T","0.00","100nF"
"C1","C0805","53.343mm","9.25mm","53.343mm","9.25mm","53.343mm","8.25mm","T","90.00","10uF"
"C2","C0805","27.48mm","9.545mm","27.48mm","9.545mm","28.48mm","9.545mm","T","180.00","10uF"
"C3","C0603","27.1801mm","11.45mm","27.1801mm","11.45mm","26.48mm","11.45mm","T","0.00","100nF"
"C6","C0603","50.343mm","9.2mm","50.343mm","9.2mm","50.343mm","9.9001mm","T","270.00","100nF"
"C5","C0603","44.843mm","12.25mm","44.843mm","12.25mm","44.843mm","12.95mm","T","270.00","100nF"
"C4","C0805","42.843mm","12.75mm","42.843mm","12.75mm","42.843mm","11.75mm","T","90.00","10uF"
